y	x	label	showSelected1	showSelected2	showSelected3	group
1.05	0.55402508872413	4736/41282=11.5% false positive bases	95	McGill0002	McGill0012	46
1.05	0.55402508872413	3476/41282=8.4% false positive bases	95	McGill0002	McGill0013	47
1.05	0.55402508872413	4858/41282=11.8% false positive bases	95	McGill0002	McGill0014	48
1.05	0.55402508872413	4877/41282=11.8% false positive bases	95	McGill0002	McGill0015	49
1.05	0.55402508872413	4340/41282=10.5% false positive bases	95	McGill0002	McGill0016	50
1.05	0.55402508872413	3369/41282=8.2% false positive bases	100	McGill0001	McGill0012	41
1.05	0.55402508872413	2275/41282=5.5% false positive bases	100	McGill0001	McGill0013	42
1.05	0.55402508872413	2761/41282=6.7% false positive bases	100	McGill0001	McGill0014	43
1.05	0.55402508872413	2022/41282=4.9% false positive bases	100	McGill0001	McGill0015	44
1.05	0.55402508872413	2936/41282=7.1% false positive bases	100	McGill0001	McGill0016	45
1.05	0.55402508872413	4640/41282=11.2% false positive bases	100	McGill0002	McGill0012	46
1.05	0.55402508872413	3501/41282=8.5% false positive bases	100	McGill0002	McGill0013	47
1.05	0.55402508872413	4440/41282=10.8% false positive bases	100	McGill0002	McGill0014	48
1.05	0.55402508872413	4731/41282=11.5% false positive bases	100	McGill0002	McGill0015	49
1.05	0.55402508872413	4017/41282=9.7% false positive bases	100	McGill0002	McGill0016	50
